Date,New Cases,Fully Vaccinated / 100
2021-05-13,38939.0,35.38
2021-05-14,41610.0,35.76
2021-05-15,29345.0,36.21
2021-05-16,17226.0,36.57
2021-05-17,28372.0,36.82
2021-05-18,27421.0,37.0
2021-05-19,29278.0,37.3
2021-05-20,30173.0,37.64
2021-05-21,28167.0,37.99
2021-05-22,20437.0,38.36
2021-05-23,13316.0,38.66
2021-05-24,24997.0,38.84
2021-05-25,22634.0,38.97
2021-05-26,24367.0,39.2
2021-05-27,27343.0,39.48
2021-05-28,21736.0,39.7
2021-05-29,12469.0,39.97
2021-05-30,6926.0,40.17
2021-05-31,5907.0,
2021-06-01,22119.0,40.4
2021-06-02,16925.0,40.48
2021-06-03,19191.0,40.63
2021-06-04,16911.0,40.87
2021-06-05,14335.0,41.07
2021-06-06,5674.0,41.32
2021-06-07,15109.0,41.55
2021-06-08,12832.0,41.76
2021-06-09,18904.0,41.92
2021-06-10,14424.0,42.1
2021-06-11,24730.0,42.25
2021-06-12,8688.0,42.55
2021-06-13,5157.0,42.79
2021-06-14,12364.0,43.09
2021-06-15,10830.0,43.34
2021-06-16,12555.0,43.55
2021-06-17,10621.0,43.93
2021-06-18,21201.0,44.14
2021-06-19,8489.0,44.34
2021-06-20,4456.0,44.5
2021-06-21,11673.0,44.61
2021-06-22,10725.0,44.73
2021-06-23,13001.0,44.83
2021-06-24,13777.0,44.97
2021-06-25,24265.0,45.08
2021-06-26,8644.0,45.25
2021-06-27,4251.0,45.5
2021-06-28,14576.0,45.72
2021-06-29,6690.0,45.85
2021-06-30,16254.0,46.05
2021-07-01,14439.0,46.35
2021-07-02,29422.0,46.46
2021-07-03,4626.0,46.68
2021-07-04,3757.0,46.78
2021-07-05,8628.0,
2021-07-06,23041.0,46.87
2021-07-07,22953.0,46.95
2021-07-08,19122.0,47.06
2021-07-09,47630.0,47.17
2021-07-10,8299.0,47.26
2021-07-11,10796.0,47.35
2021-07-12,33648.0,47.42
2021-07-13,26234.0,47.48
2021-07-14,32742.0,47.61
2021-07-15,29983.0,47.69
2021-07-16,77891.0,47.78
2021-07-17,11718.0,47.87
2021-07-18,19245.0,47.94
2021-07-19,51080.0,48.01
2021-07-20,41761.0,48.06
2021-07-21,50391.0,48.14
2021-07-22,54734.0,48.22
2021-07-23,120387.0,48.3
2021-07-24,25014.0,48.38
2021-07-25,24114.0,48.47
2021-07-26,86955.0,48.52
2021-07-27,68414.0,48.56
2021-07-28,69088.0,48.64
2021-07-29,79524.0,48.72
2021-07-30,189136.0,48.82
2021-07-31,32294.0,48.9
2021-08-01,41453.0,48.99
2021-08-02,120722.0,49.04
2021-08-03,102751.0,49.08
2021-08-04,96845.0,49.16
2021-08-05,110664.0,49.25
2021-08-06,255081.0,49.33
2021-08-07,48748.0,49.42
2021-08-08,26563.0,49.5
2021-08-09,181218.0,49.55
2021-08-10,120969.0,49.61
2021-08-11,156039.0,49.69
2021-08-12,141976.0,49.76
2021-08-13,229752.0,49.86
2021-08-14,48899.0,49.98
2021-08-15,41727.0,50.06
2021-08-16,220065.0,50.16
2021-08-17,152131.0,50.22
2021-08-18,158638.0,50.3
2021-08-19,157071.0,50.43
2021-08-20,245623.0,50.55
2021-08-21,65934.0,50.67
2021-08-22,35971.0,50.79
2021-08-23,238019.0,50.87
2021-08-24,156692.0,50.95
2021-08-25,169696.0,51.07
2021-08-26,184441.0,51.19
2021-08-27,243011.0,51.33
2021-08-28,60613.0,51.47
2021-08-29,42120.0,51.59
2021-08-30,259960.0,51.69
2021-08-31,170852.0,51.77
2021-09-01,201952.0,51.91
